framework,table_name,field_name,cdm_isRequired,bbIsRequired,cdmDatatype,bbConstraintMinGE,bbConstraintMinGT,bbConstraintMaxLE,bbConstraintMaxLT,bbDatatype,cdm_isPrimaryKey,bbIsPrimaryKey,cdm_isForeignKey,bbIsForeignKey,fkTableName,fkFieldName,fkDomain,fkClass,unique DQ identifiers,userGuidance,etlConventions,bbAdditionalUserGuidance,bbEtlNotes
cdm,condition_occurrence,condition_source_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,"This is the concept representing the condition source value and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Condition necessary for a given analytic use case. Consider using CONDITION_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.","If the CONDITION_SOURCE_VALUE is coded in the source data using an OMOP supported vocabulary put the concept id representing the source value here. If not available, set to 0.",,
cdm,condition_era,condition_occurrence_count,FALSE,FALSE,integer,,,,,integer,FALSE,FALSE,FALSE,FALSE,,,,,,"The number of individual Condition
Occurrences used to construct the
condition era.",,,
cdm,condition_occurrence,condition_occurrence_id,TRUE,TRUE,bigint,,,,,uuid,TRUE,TRUE,FALSE,FALSE,,,,,,The unique key given to a condition record for a person. Refer to the ETL for how duplicate conditions during the same visit were handled.,"Each instance of a condition present in the source data should be assigned this unique key. In some cases, a person can have multiple records of the same condition within the same visit. It is valid to keep these duplicates and assign them individual, unique, CONDITION_OCCURRENCE_IDs, though it is up to the ETL how they should be handled.",,
cdm,condition_occurrence,condition_status_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,"This concept represents the point during the visit the diagnosis was given (admitting diagnosis, final diagnosis), whether the diagnosis was determined due to laboratory findings, if the diagnosis was exclusionary, or if it was a preliminary diagnosis, among others.","Choose the Concept in the Condition Status domain that best represents the point during the visit when the diagnosis was given. These can include admitting diagnosis, principal diagnosis, and secondary diagnosis. If not available, set to 0. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Condition+Status&standardConcept=Standard&page=1&pageSize=15&query=).",,
cdm,condition_occurrence,condition_type_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,Type Concept,,,"This field can be used to determine the provenance of the Condition record, as in whether the condition was from an EHR system, insurance claim, registry, or other sources.",Choose the condition_type_concept_id that best represents the provenance of the record. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?domain=Type+Concept&standardConcept=Standard&page=1&pageSize=15&query=).,,
cdm,payer_plan_period,contract_concept_id,TRUE,TRUE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,This field represents the relationship between the PERSON_ID and CONTRACT_PERSON_ID. It should be read as PERSON_ID is the *CONTRACT_CONCEPT_ID* of the CONTRACT_PERSON_ID. So if CONTRACT_CONCEPT_ID represents the relationship 'Stepdaughter' then the Person for whom PAYER_PLAN_PERIOD record was recorded is the stepdaughter of the CONTRACT_PERSON_ID.,"If available, use this field to represent the relationship between the PERSON_ID and the CONTRACT_PERSON_ID. If the Person for whom the PAYER_PLAN_PERIOD record was recorded is the stepdaughter of the CONTRACT_PERSON_ID then CONTRACT_CONCEPT_ID would be [4330864](https://athena.ohdsi.org/search-terms/terms/4330864). If not available, set to 0. [Accepted Concepts](https://athena.ohdsi.org/search-terms/terms?standardConcept=Standard&domain=Relationship&page=12&pageSize=15&query=).",,
cdm,cost,cost_concept_id,FALSE,FALSE,integer,0,,2147483647,,integer,FALSE,FALSE,TRUE,TRUE,concept,concept_id,,,,A foreign key that refers to a Standard Cost Concept identifier in the Standardized Vocabularies belonging to the 'Cost' vocabulary.,,,
cdm,condition_occurrence,condition_end_datetime,FALSE,FALSE,datetime,,,,,datetime,FALSE,FALSE,FALSE,FALSE,,,,,,,If a source does not specify datetime the convention is to set the time to midnight (00:00:0000),,Only fill if related iso_interval field indicates a known single date(time)
omopdb,condition_occurrence,condition_end_iso_interval,,FALSE,,,,,,varchar(55),,FALSE,,FALSE,,,,,,,,"Generalization of condition_end_date(time), allowing for approximation. Both endpoints specified to specific date (or datetime) to establish range. Use identical start/end to indicate known date(time).","Use ISO 8601-2 standard. Unknown start is ""/YYYY-MM-DD…""; unknown end is ""YYYY-MM-DD/"". To express a single moment use identical start/end components."
cdm,condition_occurrence,condition_start_date,TRUE,TRUE,date,,,,,date,FALSE,FALSE,FALSE,FALSE,,,,,,Use this date to determine the start date of the condition,"Most often data sources do not have the idea of a start date for a condition. Rather, if a source only has one date associated with a condition record it is acceptable to use that date for both the CONDITION_START_DATE and the CONDITION_END_DATE.",,
